Composition,Predicted EFA,Average Formation Enthalpy,Formation Gap,Radius Mismatch,Electronegativity Mismatch,Carbon Affinity,Magnetic Disorder Risk Index,Minimum Carbide Melting Point,Average Valence Count,Carbide Formation Deviation Index,Metastable Segregation Index,norm_efa,norm_afe,norm_fg,norm_rmis,norm_xmis,norm_ca,norm_mdri,norm_mp,norm_vec,norm_cfdi,norm_msi,Normalized Score
(CrHfMoYZr)C5,,-0.459200000,0.663800000,0.086264027,0.347194470,0.173,0,2271,4.600000000,0.513831646,0.004,,0.490969226,0.271938500,0.220703275,0.321475707,0.000000014,0,0,0.416666665,0.061936588,0.534282011,
(CrHfNbReSc)C5,,-0.362800000,0.760200000,0.074785435,0.216665641,0.173,0,2271,5.000000000,0.446915831,-0.409,,0.368354116,0.147717033,0.363505566,0.628276075,0.000000014,0,0,0.583333331,0.203509958,0.000000000,
(CrHfNbReTa)C5,,-0.439600000,0.683400000,0.075404004,0.196611292,0.173,0,2271,5.400000000,0.458083660,-0.409,,0.466039183,0.246681853,0.355810095,0.675412649,0.000000014,0,0,0.749999997,0.179882251,0.000000000,
(CrHfNbReTi)C5,,-0.500800000,0.622200000,0.080121082,0.193494186,0.173,0,2271,5.200000000,0.501674157,-0.409,,0.543881970,0.325544444,0.297126110,0.682739223,0.000000014,0,0,0.666666664,0.087658110,0.000000000,
(CrHfNbReV)C5,,-0.406600000,0.716400000,0.085146815,0.191248529,0.173,0,2271,5.400000000,0.446896230,-0.409,,0.424065131,0.204157907,0.234602228,0.688017507,0.000000014,0,0,0.749999997,0.203551429,0.000000000,
(CrHfNbReW)C5,,-0.338600000,0.784400000,0.073272152,0.354039546,0.173,0,2271,5.600000000,0.454231043,-0.409,,0.337573145,0.116532806,0.382331936,0.305386757,0.000000014,0,0,0.833333330,0.188033211,0.000000000,
(CrHfNbReY)C5,,-0.342200000,0.780800000,0.084687719,0.248000000,0.173,0,2271,5.000000000,0.452822879,-0.409,,0.342152133,0.121171782,0.240313731,0.554626499,0.000000014,0,0,0.583333331,0.191012453,0.000000000,
(CrHfNbReZr)C5,,-0.510600000,0.612400000,0.079272007,0.222566844,0.173,0,2271,5.200000000,0.511037611,-0.409,,0.556346991,0.338172767,0.307689242,0.614405643,0.000000014,0,0,0.666666664,0.067847909,0.000000000,
(CrHfNbScTa)C5,,-0.484000000,0.639000000,0.077320998,0.137054734,0.173,0,2271,4.600000000,0.428247592,0.011,,0.522513361,0.303895890,0.331961254,0.815396851,0.000000014,0,0,0.416666665,0.243006234,0.543337639,
(CrHfNbScTi)C5,,-0.545200000,0.577800000,0.080693544,0.138910043,0.173,0,2271,4.400000000,0.468825938,0.037,,0.600356149,0.382758481,0.290004262,0.811036055,0.000000014,0,0,0.333333332,0.157154882,0.576972826,
(CrHfNbScV)C5,,-0.451000000,0.672000000,0.085459773,0.149398795,0.173,0,2271,4.600000000,0.419764220,0.037,,0.480539310,0.261371944,0.230708799,0.786382857,0.000000014,0,0,0.416666665,0.260954452,0.576972826,
(CrHfNbScW)C5,,-0.383000000,0.740000000,0.074837854,0.377655928,0.173,0,2271,4.800000000,0.434568752,-0.169,,0.394047324,0.173746843,0.362853429,0.249877834,0.000000014,0,0,0.499999998,0.229632596,0.310478651,
(CrHfNbScY)C5,,-0.386600000,0.736400000,0.087022478,0.171860408,0.173,0,2271,4.200000000,0.432727443,0.037,,0.398626311,0.178385819,0.211267573,0.733588150,0.000000014,0,0,0.249999999,0.233528241,0.576972826,
(CrHfNbScZr)C5,,-0.555000000,0.568000000,0.081426844,0.149398795,0.173,0,2271,4.400000000,0.477922588,-0.015,,0.612821170,0.395386804,0.280881453,0.786382857,0.000000014,0,0,0.333333332,0.137909157,0.509702451,
(CrHfNbTaTi)C5,,-0.622000000,0.501000000,0.083699723,0.122637678,0.173,0,2271,4.800000000,0.449319485,0.011,,0.698041215,0.481723300,0.252605133,0.849283296,0.000000014,0,0,0.499999998,0.198424561,0.543337639,
(CrHfNbTaV)C5,,-0.527800000,0.595200000,0.089203567,0.130598622,0.173,0,2271,5.000000000,0.415645715,0.011,,0.578224376,0.360336764,0.184133195,0.830571564,0.000000014,0,0,0.583333331,0.269667948,0.543337639,
(CrHfNbTaW)C5,,-0.459800000,0.663200000,0.074294086,0.359421758,0.173,0,2271,5.200000000,0.442554132,-0.169,,0.491732390,0.272711663,0.369618309,0.292736183,0.000000014,0,0,0.666666664,0.212737977,0.310478651,
(CrHfNbTaY)C5,,-0.463400000,0.659600000,0.082461231,0.169894085,0.173,0,2271,4.600000000,0.440118439,0.011,,0.496311378,0.277350639,0.268012909,0.738209879,0.000000014,0,0,0.416666665,0.217891158,0.543337639,
(CrHfNbTaZr)C5,,-0.631800000,0.491200000,0.077978225,0.142884569,0.173,0,2271,4.800000000,0.457159666,0.004,,0.710506236,0.494351624,0.323784864,0.801694165,0.000000014,0,0,0.499999998,0.181837141,0.534282011,
(CrHfNbTiV)C5,,-0.589000000,0.534000000,0.088695033,0.129243955,0.173,0,2271,4.800000000,0.451444349,0.037,,0.656067163,0.439199354,0.190459733,0.833755628,0.000000014,0,0,0.499999998,0.193929001,0.576972826,
(CrHfNbTiW)C5,,-0.521000000,0.602000000,0.080681203,0.355662762,0.173,0,2271,5.000000000,0.484992783,-0.169,,0.569575177,0.351574253,0.290157795,0.301571483,0.000000014,0,0,0.583333331,0.122950788,0.310478651,
(CrHfNbTiY)C5,,-0.524600000,0.598400000,0.093865669,0.172696265,0.173,0,2271,4.400000000,0.482314669,0.037,,0.574154165,0.356213229,0.126133142,0.731623518,0.000000014,0,0,0.333333332,0.128616858,0.576972826,
(CrHfNbTiZr)C5,,-0.693000000,0.430000000,0.088100215,0.144996552,0.173,0,2271,4.600000000,0.476766190,0.004,,0.788349023,0.573214215,0.197859711,0.796730072,0.000000014,0,0,0.416666665,0.140355740,0.534282011,
(CrHfNbVW)C5,,-0.426800000,0.696200000,0.085962789,0.349742763,0.173,0,2271,5.200000000,0.432507757,-0.169,,0.449758338,0.230187717,0.224450896,0.315486094,0.000000014,0,0,0.666666664,0.233993030,0.310478651,
(CrHfNbVY)C5,,-0.430400000,0.692600000,0.099448880,0.184000000,0.173,0,2271,4.600000000,0.430291343,0.037,,0.454337326,0.234826693,0.056673814,0.705054751,0.000000014,0,0,0.416666665,0.238682283,0.576972826,
